Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance;Elevation_m
SYNOP;SYNO;2030262929;;VSJEI;Jeizinen;46.3284,7.72247;1556m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1557.5
SYNOP;SYNO;2039624400;;STB;Starkenbach;47.1849,9.25045;897m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;897.1
SYNOP;SYNO;2040922243;;BAW;Barmelweid;47.4215,7.96949;777m;2017-12-03T06:00:00Z;2019-06-30T06:00:00Z;-999;-999;-999;783.1
SYNOP;SYNO;2041288863;067840;DAV;Davos;46.813,9.84356;1594m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1590.9
SYNOP;SYNO;2088112197;066490;OBR;Oberriet / Kriessern;47.3766,9.61271;409m;2015-05-05T08:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;410.3
SYNOP;SYNO;2107446285;;ORS;Orsières;46.0214,7.14192;929m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;929.5
SYNOP;SYNO;2109196617;;FRF;Frauenfeld;47.5731,8.89371;393m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;389.7
SYNOP;SYNO;2113242257;;KIS;Kiesen;46.8208,7.57304;535m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;536.2
SYNOP;SYNO;2117143666;;COL;Coldrerio;45.8539,8.99743;347m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;346.4
SYNOP;SYNO;2123343588;;BIS;Bisisthal;46.9438,8.83073;856m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;853.9
SYNOP;SYNO;2163532939;066240;HLL;Hallau;47.6973,8.47046;419m;2011-10-11T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;421.2
SYNOP;SYNO;2176160128;066950;ANT;Andermatt;46.6309,8.58055;1438m;2013-11-19T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1434.1
SYNOP;SYNO;2211409391;;MUT;Murten;46.9421,7.13644;433m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;435.4
SYNOP;SYNO;2214226762;067880;VIO;Vicosoprano;46.353,9.6278;1089m;2013-02-06T09:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1094.9
SYNOP;SYNO;2231295974;;VVI;Vallorbe;46.7129,6.38451;748m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;747.2
SYNOP;SYNO;2233534772;;FRA;Fräschels;46.9965,7.20593;454m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;456.2
SYNOP;SYNO;2242572695;;SAN;St. Antönien;46.9721,9.82592;1456m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1457.9
SYNOP;SYNO;2246507089;;VSSFE;Salanfe;46.1457,6.97297;1965m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1961.7
SYNOP;SYNO;2249660041;066600;SMA;Zürich / Fluntern;47.3779,8.56574;556m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;555.7
SYNOP;SYNO;2250435289;;MAL;Malbun;47.1032,9.60861;1610m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1610.9
SYNOP;SYNO;2283077442;;LGA;Langnau am Albis;47.2861,8.52531;579m;2017-12-03T06:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;589.4
SYNOP;SYNO;2287431434;066930;EBK;Ebnat-Kappel;47.2734,9.10849;623m;2010-07-01T08:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;624.8
